Primary_Name,Galaxy,Magnitude,RA_deg,DEC_deg,Angular_Size,Distance from Earth (Mpc),Distance_Modulus,Aliases
Draco II,Draco II,15.87,238.1983,64.5653,,0.0214927577194,16.661460715307193,"['Draco II', 'Dra II', 'Laevens 4']"
Tuc III,Tucana III,15.5,359.15,-59.6,,0.0229031241318,16.799473634550893,"['[DBR2015] DES J2356-5935', 'Tucana III', 'Tuc III']"
Segue 1,Segue 1,13.8,151.7633,16.0736,,0.02299510455,16.8081769424324,"['Segue 1', 'Segue I']"
Hydrus I,Hydrus I,12.49,37.389,-79.3089,,0.02759412546,17.204083172670526,"['Hydrus 1', 'Hydrus I', 'Hyi I']"
UMa II Galaxy,Ursa Major II Dwarf,14.3,132.875,63.13,,0.030046936612,17.389001003936375,"['UMa II Galaxy', 'Ursa Major II Galaxy', 'Ursa Major II Dwarf']"
Tri II,Triangulum II,15.6,33.3225,36.17844,,0.030046936612,17.389001003936375,"['Laevens 2/Triangulum II', 'Lae 2/Tri II', 'Tri II', 'Triangulum II', 'Laevens 2']"
Reticulum II,Reticulum II,14.4,53.9254,-54.0492,,0.031273342188,17.475871484283488,"['[BDB2015] DES J0335.6-5403', 'Reticulum II', 'Ret II']"
Pic II,Pictor II,15.1,101.18,-59.897,,0.045070404918,18.269457299214785,"['Pic II', 'Pictor II', 'MagLiteS J0644-5953']"
Tuc IV,Tucana IV,14.9,0.73,-60.85,,0.048136418858,18.412368887520067,"['[DBR2015] DES J0002-6051', 'Tucana IV', 'Tuc IV']"
Tuc II,Tucana II,15.0,342.9796,-58.5689,,0.057027859284,18.780435346563483,"['[BDB2015] DES J2251.2-5836', 'Tucana II', 'Tuc II']"
Bootes Dwarf Spheroidal Galaxy,Boötes I,13.1,210.0,14.5,26.233299255371097,0.060400474618,18.905201756281865,"['Bootes dSph Galaxy', 'Bootes Satellite', 'Bootes Dwarf Galaxy', 'Bootes Dwarf Spheroidal Galaxy', 'Bootes I', 'Boo dSph']"
Eridanus IV,Eridanus IV,14.72,76.438,-9.515,,0.0766503485,19.422570668834087,"['Eri IV', 'Eridanus IV']"
Horologium II,Horologium II,16.9,49.1338,-50.0181,,0.077876754076,19.45703920857359,"['Horologium II', 'Hor II']"
Pegasus IV,Pegasus IV,15.52,328.539,26.62,,0.090140809836,19.774607277534688,['Pegasus IV']
Reticulum III,Reticulum III,16.51,56.36,-60.45,,0.0919804182,19.818476899072213,"['[DBR2015] DES J0345-6026', 'Reticulum III', 'Ret III']"
Bootes V Dwarf Galaxy,Boötes V,16.84,213.9108,32.9111,0.0010657019447535,0.102098264202,20.0450917930055,"['Bootes V', 'DELVE J1415+3254', 'Bootes V Dwarf Galaxy']"
Aquarius 2,Aquarius II,15.8,338.4813,-9.3274,10.199999809265137,0.1078930305486,20.16496695964986,"['Aquarius 2', 'Aquarius II']"
Grus I,Grus I,17.0,344.1765,-50.1633,,0.119881145054,20.393754412453234,['Grus I']
Pisces II,Pisces II,17.03,344.6292,5.9525,,0.183041032218,21.312742281120745,"['Psc II', 'Pisces II']"
Col I,Columba I,17.11,82.86,-28.03,,0.183041032218,21.312742281120745,"['[DBR2015] DES J0531-2801', 'Columba I', 'Col I']"
Bootes IV,Boötes IV,17.07,233.689,43.726,15.199999809265137,0.209102150708,21.601792498756296,"['HSCS J153445+434300', 'Bootes IV']"
Pegasus III,Pegasus III,17.5,336.0942,5.42,3.0,0.214927577194,21.661460715307193,"['Pegasus III', 'Peg III']"
Leo T,Leo T Dwarf,16.0,143.7225,17.0514,,0.4139118819,23.084539467948932,"['AGC 198305', 'Leo T', 'LEDA 4713564', 'Leo T Dwarf', 'Leo T dSph']"
